coo: 51.9255945_4.4753303;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2025-10-09;--;--;--;--;--;--;--;--;--;--;--;--;-0.33;99.94;8.54;111.97;16.65;124.80;23.53;138.90;28.59;154.53;31.28;171.47;31.24;188.92;28.46;205.83;23.32;221.40;16.39;235.44;8.23;248.22;-0.67;260.22;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-10;--;--;--;--;--;--;--;--;--;--;--;--;-0.59;100.23;8.27;112.25;16.36;125.06;23.21;139.14;28.24;154.72;30.91;171.58;30.85;188.96;28.07;205.78;22.95;221.30;16.03;235.30;7.88;248.06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.99;112.52;16.07;125.32;22.89;139.37;27.90;154.90;30.54;171.70;30.47;188.99;27.69;205.74;22.58;221.19;15.67;235.16;7.54;247.89;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.72;112.79;15.78;125.57;22.57;139.59;27.55;155.08;30.18;171.81;30.09;189.02;27.31;205.69;22.21;221.09;15.32;235.02;7.19;247.73;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.45;113.05;15.49;125.82;22.25;139.82;27.21;155.25;29.81;171.92;29.72;189.05;26.94;205.64;21.84;220.98;14.97;234.87;6.85;247.56;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-14;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.18;113.32;15.19;126.07;21.94;140.03;26.86;155.43;29.44;172.02;29.34;189.07;26.57;205.59;21.48;220.87;14.62;234.73;6.52;247.39;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.91;113.58;14.90;126.31;21.62;140.25;26.52;155.59;29.08;172.12;28.97;189.09;26.19;205.54;21.12;220.77;14.27;234.58;6.18;247.22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.64;113.83;14.61;126.55;21.30;140.46;26.18;155.76;28.72;172.22;28.60;189.11;25.83;205.49;20.76;220.66;13.93;234.44;5.85;247.05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.36;114.09;14.32;126.79;20.99;140.66;25.84;155.91;28.36;172.31;28.23;189.13;25.46;205.43;20.41;220.55;13.59;234.29;5.53;246.88;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.09;114.33;14.03;127.02;20.67;140.87;25.50;156.07;28.00;172.40;27.86;189.14;25.10;205.38;20.06;220.44;13.25;234.14;5.20;246.71;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.82;114.58;13.74;127.24;20.36;141.06;25.16;156.22;27.64;172.48;27.50;189.15;24.74;205.32;19.71;220.33;12.92;234.00;4.88;246.54;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.55;114.82;13.45;127.47;20.05;141.25;24.82;156.36;27.29;172.56;27.14;189.16;24.38;205.26;19.36;220.21;12.59;233.85;4.56;246.37;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.28;115.06;13.16;127.68;19.73;141.44;24.49;156.51;26.94;172.64;26.78;189.16;24.03;205.19;19.02;220.10;12.26;233.70;4.25;246.20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.01;115.29;12.87;127.90;19.42;141.63;24.16;156.64;26.59;172.71;26.42;189.16;23.68;205.13;18.69;219.98;11.94;233.55;3.94;246.02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.74;115.52;12.58;128.11;19.11;141.80;23.83;156.77;26.24;172.78;26.07;189.16;23.33;205.07;18.35;219.87;11.62;233.40;3.63;245.85;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-24;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.48;115.74;12.30;128.31;18.81;141.98;23.50;156.90;25.90;172.85;25.72;189.16;22.99;205.00;18.02;219.75;11.30;233.25;3.33;245.68;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-25;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.21;115.97;12.01;128.51;18.50;142.15;23.17;157.03;25.56;172.91;25.38;189.15;22.65;204.93;17.69;219.63;10.99;233.09;3.03;245.50;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.94;116.18;11.73;128.71;18.19;142.31;22.85;157.14;25.22;172.97;25.03;189.14;22.31;204.86;17.37;219.51;10.68;232.94;2.74;245.33;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-27;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.68;116.39;11.44;128.90;17.89;142.47;22.52;157.26;24.88;173.02;24.70;189.13;21.98;204.78;17.05;219.39;10.38;232.79;2.45;245.15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.41;116.60;11.16;129.08;17.59;142.63;22.20;157.37;24.55;173.07;24.36;189.12;21.65;204.71;16.74;219.27;10.08;232.63;2.17;244.97;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-29;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.15;116.80;10.88;129.26;17.29;142.78;21.89;157.47;24.22;173.12;24.03;189.10;21.33;204.63;16.43;219.15;9.79;232.48;1.89;244.80;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-30;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.88;117.00;10.60;129.44;16.99;142.92;21.57;157.57;23.90;173.16;23.70;189.08;21.01;204.55;16.13;219.02;9.50;232.32;1.61;244.62;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-10-31;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.62;117.19;10.33;129.61;16.70;143.06;21.26;157.67;23.57;173.20;23.38;189.05;20.70;204.47;15.82;218.90;9.22;232.17;1.34;244.44;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.36;117.38;10.05;129.78;16.40;143.20;20.95;157.76;23.26;173.23;23.06;189.02;20.39;204.39;15.53;218.77;8.94;232.01;1.08;244.26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.10;117.56;9.78;129.94;16.11;143.33;20.64;157.84;22.94;173.26;22.74;188.99;20.08;204.30;15.24;218.64;8.66;231.85;0.82;244.08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.85;117.74;9.50;130.10;15.82;143.45;20.34;157.92;22.63;173.29;22.43;188.96;19.78;204.21;14.95;218.52;8.39;231.69;0.56;243.91;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.59;117.91;9.23;130.25;15.54;143.57;20.04;158.00;22.32;173.31;22.13;188.92;19.48;204.13;14.67;218.39;8.13;231.53;0.31;243.73;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.34;118.08;8.96;130.39;15.25;143.68;19.74;158.07;22.02;173.33;21.83;188.88;19.19;204.04;14.40;218.25;7.87;231.37;0.07;243.55;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.08;118.24;8.70;130.53;14.97;143.79;19.45;158.14;21.72;173.34;21.53;188.84;18.91;203.94;14.12;218.12;7.61;231.21;-0.17;243.37;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.83;118.40;8.43;130.67;14.69;143.90;19.16;158.20;21.42;173.35;21.24;188.80;18.62;203.85;13.86;217.99;7.37;231.05;-0.40;243.19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.58;118.55;8.17;130.80;14.42;143.99;18.87;158.26;21.13;173.36;20.95;188.75;18.35;203.75;13.60;217.86;7.12;230.89;-0.63;243.01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.34;118.70;7.91;130.92;14.15;144.09;18.59;158.31;20.85;173.36;20.67;188.70;18.08;203.65;13.35;217.72;6.89;230.73;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.09;118.84;7.66;131.04;13.88;144.18;18.31;158.35;20.56;173.36;20.39;188.64;17.81;203.55;13.10;217.59;6.66;230.57;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.15;118.98;7.40;131.15;13.61;144.26;18.04;158.40;20.29;173.35;20.12;188.59;17.55;203.45;12.85;217.45;6.43;230.41;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.39;119.11;7.15;131.26;13.35;144.34;17.77;158.44;20.01;173.34;19.85;188.53;17.30;203.35;12.62;217.31;6.21;230.25;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.63;119.23;6.90;131.36;13.09;144.41;17.50;158.47;19.75;173.33;19.59;188.47;17.05;203.25;12.39;217.18;6.00;230.09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-14;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.66;131.46;12.84;144.48;17.24;158.50;19.48;173.31;19.34;188.40;16.81;203.14;12.16;217.04;5.79;229.93;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.41;131.55;12.58;144.54;16.98;158.52;19.23;173.29;19.09;188.34;16.57;203.03;11.94;216.90;5.59;229.76;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.17;131.63;12.34;144.59;16.73;158.54;18.98;173.26;18.84;188.27;16.34;202.92;11.73;216.76;5.40;229.60;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.94;131.71;12.09;144.65;16.48;158.55;18.73;173.24;18.60;188.19;16.12;202.81;11.53;216.62;5.21;229.44;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.71;131.79;11.85;144.69;16.24;158.56;18.49;173.20;18.37;188.12;15.90;202.70;11.33;216.48;5.03;229.28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.48;131.86;11.62;144.73;16.00;158.57;18.25;173.17;18.14;188.04;15.69;202.59;11.13;216.34;4.85;229.12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.25;131.92;11.39;144.77;15.77;158.57;18.02;173.13;17.92;187.96;15.49;202.47;10.95;216.19;4.68;228.96;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.03;131.98;11.16;144.80;15.54;158.57;17.80;173.08;17.71;187.88;15.29;202.35;10.77;216.05;4.52;228.80;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.81;132.03;10.94;144.82;15.32;158.56;17.58;173.04;17.50;187.79;15.10;202.24;10.59;215.91;4.37;228.64;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.60;132.08;10.72;144.84;15.10;158.54;17.36;172.99;17.30;187.71;14.91;202.12;10.43;215.77;4.22;228.48;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-24;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.39;132.12;10.51;144.86;14.88;158.53;17.16;172.93;17.10;187.62;14.73;202.00;10.27;215.63;4.08;228.32;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-25;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.18;132.15;10.30;144.87;14.68;158.51;16.96;172.88;16.92;187.53;14.56;201.88;10.11;215.48;3.94;228.16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.98;132.18;10.10;144.87;14.48;158.48;16.76;172.82;16.73;187.43;14.39;201.76;9.97;215.34;3.81;228.00;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-27;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.78;132.21;9.90;144.87;14.28;158.45;16.57;172.76;16.56;187.34;14.24;201.64;9.83;215.20;3.69;227.85;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.59;132.22;9.70;144.87;14.09;158.42;16.39;172.69;16.39;187.24;14.09;201.51;9.70;215.06;3.58;227.69;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-29;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.40;132.24;9.52;144.86;13.91;158.38;16.22;172.62;16.23;187.14;13.94;201.39;9.57;214.92;3.47;227.54;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-11-30;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.22;132.24;9.33;144.84;13.73;158.33;16.05;172.55;16.07;187.04;13.80;201.26;9.45;214.77;3.37;227.39;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.04;132.25;9.16;144.82;13.56;158.29;15.88;172.47;15.93;186.94;13.67;201.14;9.34;214.63;3.28;227.23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.87;132.24;8.98;144.80;13.39;158.24;15.73;172.39;15.78;186.83;13.55;201.01;9.24;214.49;3.20;227.09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.70;132.23;8.82;144.77;13.23;158.18;15.58;172.31;15.65;186.73;13.44;200.89;9.14;214.35;3.12;226.94;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.54;132.22;8.66;144.73;13.08;158.12;15.44;172.23;15.52;186.62;13.33;200.76;9.06;214.22;3.05;226.79;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.38;132.20;8.50;144.69;12.93;158.06;15.30;172.14;15.41;186.51;13.23;200.64;8.97;214.08;2.98;226.65;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.23;132.18;8.36;144.65;12.79;158.00;15.17;172.05;15.29;186.40;13.14;200.51;8.90;213.94;2.93;226.50;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.08;132.15;8.21;144.60;12.65;157.93;15.05;171.96;15.19;186.29;13.05;200.39;8.83;213.81;2.88;226.36;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.94;132.11;8.08;144.55;12.53;157.86;14.94;171.87;15.09;186.18;12.97;200.26;8.77;213.67;2.84;226.22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.80;132.07;7.95;144.49;12.41;157.78;14.83;171.77;15.00;186.07;12.90;200.13;8.72;213.54;2.80;226.09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.67;132.03;7.82;144.43;12.29;157.70;14.73;171.67;14.92;185.95;12.84;200.01;8.68;213.41;2.77;225.95;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.54;131.98;7.70;144.37;12.18;157.62;14.64;171.57;14.84;185.84;12.78;199.88;8.64;213.28;2.75;225.82;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.42;131.92;7.59;144.30;12.08;157.53;14.55;171.47;14.78;185.72;12.73;199.76;8.61;213.15;2.74;225.69;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.31;131.86;7.49;144.22;11.99;157.44;14.48;171.37;14.72;185.61;12.69;199.64;8.59;213.02;2.73;225.56;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-14;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.20;131.80;7.39;144.15;11.91;157.35;14.41;171.26;14.67;185.49;12.66;199.51;8.57;212.90;2.73;225.44;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.10;131.73;7.30;144.07;11.83;157.25;14.34;171.15;14.62;185.37;12.64;199.39;8.57;212.78;2.74;225.32;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.01;131.66;7.21;143.98;11.75;157.16;14.29;171.04;14.58;185.25;12.62;199.27;8.57;212.66;2.76;225.20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.92;131.58;7.13;143.89;11.69;157.06;14.24;170.93;14.55;185.14;12.61;199.15;8.57;212.54;2.78;225.08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.84;131.50;7.06;143.80;11.63;156.95;14.20;170.82;14.53;185.02;12.60;199.03;8.59;212.42;2.81;224.97;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.76;131.41;7.00;143.70;11.58;156.85;14.17;170.71;14.52;184.90;12.61;198.91;8.61;212.31;2.85;224.86;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.69;131.32;6.94;143.60;11.54;156.74;14.14;170.59;14.51;184.78;12.62;198.80;8.64;212.19;2.89;224.76;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.63;131.22;6.89;143.50;11.50;156.63;14.12;170.48;14.51;184.66;12.64;198.68;8.68;212.09;2.94;224.65;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.57;131.12;6.84;143.39;11.47;156.52;14.11;170.36;14.52;184.55;12.67;198.57;8.72;211.98;3.00;224.55;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.52;131.02;6.81;143.29;11.45;156.40;14.11;170.24;14.54;184.43;12.71;198.46;8.77;211.88;3.06;224.46;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-24;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.48;130.91;6.78;143.17;11.44;156.28;14.11;170.12;14.56;184.31;12.75;198.35;8.83;211.77;3.13;224.37;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-25;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.44;130.80;6.76;143.06;11.43;156.16;14.13;170.00;14.60;184.20;12.80;198.24;8.90;211.68;3.21;224.28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.41;130.69;6.74;142.94;11.44;156.04;14.15;169.88;14.64;184.08;12.86;198.13;8.97;211.58;3.29;224.20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-27;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.39;130.57;6.73;142.82;11.44;155.92;14.18;169.76;14.68;183.97;12.92;198.03;9.05;211.49;3.39;224.12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.38;130.45;6.73;142.70;11.46;155.80;14.21;169.64;14.74;183.85;12.99;197.93;9.14;211.40;3.48;224.04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-29;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.37;130.32;6.74;142.57;11.49;155.67;14.26;169.52;14.80;183.74;13.07;197.83;9.23;211.32;3.59;223.97;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-30;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.37;130.20;6.75;142.44;11.52;155.54;14.31;169.40;14.87;183.63;13.16;197.73;9.33;211.23;3.70;223.90;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2025-12-31;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.37;130.06;6.77;142.31;11.56;155.42;14.36;169.27;14.95;183.52;13.25;197.63;9.44;211.16;3.81;223.84;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2026-01-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.39;129.90;6.81;142.14;11.61;155.25;14.45;169.12;15.06;183.38;13.38;197.52;9.58;211.06;3.97;223.77;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
